日期,到港量
2018-01-07,984.40 
2018-01-14,1200.60 
2018-01-21,936.30 
2018-01-28,771.50 
2018-02-04,1124.80 
2018-02-11,1211.90 
2018-02-18,1157.10 
2018-02-25,922.80 
2018-03-04,978.20 
2018-03-11,1004.40 
2018-03-18,863.00 
2018-03-25,940.70 
2018-04-01,873.00 
2018-04-08,872.10 
2018-04-15,1191.40 
2018-04-22,1172.90 
2018-04-29,798.80 
2018-05-06,1108.80 
2018-05-13,910.00 
2018-05-20,1111.80 
2018-05-27,1062.10 
2018-06-03,826.30 
2018-06-10,1173.10 
2018-06-17,1074.80 
2018-06-24,1217.20 
2018-07-01,876.50 
2018-07-08,1222.50 
2018-07-15,886.10 
2018-07-22,987.10 
2018-07-29,976.30 
2018-08-05,798.60 
2018-08-12,939.30 
2018-08-19,1002.90 
2018-08-26,996.60 
2018-09-02,1118.90 
2018-09-09,961.00 
2018-09-16,1109.50 
2018-09-23,979.40 
2018-09-30,863.20 
2018-10-07,1096.50 
2018-10-14,1141.20 
2018-10-21,875.70 
2018-10-28,958.60 
2018-11-04,1052.00 
2018-11-11,1051.30 
2018-11-18,916.10 
2018-11-25,727.00 
2018-12-02,878.01 
2018-12-09,1057.40 
2018-12-16,932.40 
2018-12-23,970.70 
2018-12-30,1095.40 

