日期,澳大利亚,巴西
2018/9/2,1201.50 ,981.90 
2018/9/9,1333.60 ,887.30 
2018/9/16,1316.80 ,874.00 
2018/9/23,1498.40 ,962.60 
2018/9/30,1251.50 ,896.50 
2018/10/7,1214.30 ,732.00 
2018/10/14,1342.60 ,758.30 
2018/10/21,1372.90 ,841.00 
2018/10/28,1278.50 ,825.40 
2018/11/4,1372.50 ,806.00 
2018/11/11,1141.40 ,692.80 
2018/11/18,1118.60 ,719.40 
2018/11/25,1345.70 ,780.90 
2018/12/2,1242.00 ,808.60 
2018/12/9,1349.60 ,687.40 
2018/12/16,1296.10 ,825.40 
2018/12/23,1516.30 ,878.20 
2018/12/30,1466.10 ,933.10 
2019/1/6,1394.90 ,739.90 
2019/1/13,1210.10 ,676.10 
2019/1/20,1379.30 ,620.10 
2019/1/27,1039.20 ,648.90 
2019/2/3,1396.60 ,720.20 
2019/2/10,1329.00 ,481.60 
2019/2/17,1334.50 ,640.70 
2019/2/24,1381.00 ,612.00 
2019/3/3,1466.40 ,695.70 
2019/3/10,1254.40 ,500.00 
2019/3/17,1390.80 ,457.00 
2019/3/24,895.50 ,526.60 
2019/3/31,615.50 ,466.90 
2019/4/7,1181.20 ,205.70 
2019/4/14,1257.10 ,358.40 
2019/4/21,1498.30 ,361.70 
2019/4/28,1268.20 ,475.40 
2019/5/5,1382.90 ,660.00 
2019/5/12,1235.10 ,543.30 
2019/5/19,1458.50 ,501.70 
2019/5/26,1420.80 ,622.60 
2019/6/2,1452.20 ,720.40 
2019/6/9,1443.70 ,636.00 
2019/6/16,1487.90 ,492.10 
